account,annotated_by_group,annotator_crowd_type
engces010b,CUNI,paid annotators
engces010c,CUNI,paid annotators
engces010d,CUNI,paid annotators
engces010e,CUNI,paid annotators
engces010f,CUNI,paid annotators
engces0110,CUNI,paid annotators
engces0111,CUNI,paid annotators
engces0112,CUNI,paid annotators
engces0113,CUNI,paid annotators
engces0114,CUNI,paid annotators
engces0115,CUNI,paid annotators
engces0116,CUNI,paid annotators
engces0117,CUNI,paid annotators
engces0118,CUNI,paid annotators
engces0119,CUNI,paid annotators
engces011a,CUNI,paid annotators
engces011b,CUNI,paid annotators
engces011c,CUNI,paid annotators
engces011d,CUNI,paid annotators
engces011e,CUNI,paid annotators
engces011f,CUNI,paid annotators
engces0120,CUNI,paid annotators
engces0121,CUNI,paid annotators
engces0122,CUNI,paid annotators
engces0123,CUNI,paid annotators
engces0124,CUNI,paid annotators
engces0125,CUNI,paid annotators
engces0126,CUNI,paid annotators
engces0127,CUNI,paid annotators
engces0128,CUNI,paid annotators
engces0129,CUNI,paid annotators
engces012a,CUNI,paid annotators
engces012b,CUNI,paid annotators
engces012c,CUNI,paid annotators
engces012d,CUNI,paid annotators
engces012e,CUNI,paid annotators
engces012f,CUNI,paid annotators
engces0130,CUNI,paid annotators
engces0131,CUNI,paid annotators
engces0132,CUNI,paid annotators
engces0133,CUNI,paid annotators
engces0134,CUNI,paid annotators
engces0135,CUNI,paid annotators
engces0136,CUNI,paid annotators
engces0137,CUNI,paid annotators
engces0138,CUNI,paid annotators
engces0139,CUNI,paid annotators
engces013a,CUNI,paid annotators
engces013b,CUNI,paid annotators
engces013c,CUNI,paid annotators
engces013d,CUNI,paid annotators
engces013e,CUNI,paid annotators
engces013f,CUNI,paid annotators
engces0140,CUNI,paid annotators
engces0141,CUNI,paid annotators
engces0142,CUNI,paid annotators
engces0143,CUNI,paid annotators
engces0144,CUNI,paid annotators
engces0145,CUNI,paid annotators
engces0146,CUNI,paid annotators
engces0147,CUNI,paid annotators
engces0148,CUNI,paid annotators
engces014b,CUNI,paid annotators
engces0201,Toloka,Toloka crowd
engces0202,Toloka,Toloka crowd
engces0203,Toloka,Toloka crowd
engces0204,Toloka,Toloka crowd
engces0205,Toloka,Toloka crowd
engces0207,Toloka,Toloka crowd
engces0208,Toloka,Toloka crowd
engces0209,Toloka,Toloka crowd
engces020a,Toloka,Toloka crowd
engces020b,Toloka,Toloka crowd
engces020c,Toloka,Toloka crowd
engces020d,Toloka,Toloka crowd
engces020e,Toloka,Toloka crowd
engces020f,Toloka,Toloka crowd
engces0211,Toloka,Toloka crowd
engces0212,Toloka,Toloka crowd
engces0213,Toloka,Toloka crowd
engces0214,Toloka,Toloka crowd
engces0215,Toloka,Toloka crowd
engces0216,Toloka,Toloka crowd
engces0217,Toloka,Toloka crowd
engces0218,Toloka,Toloka crowd
engces0219,Toloka,Toloka crowd
engces021a,Toloka,Toloka crowd
engces021b,Toloka,Toloka crowd
engces021c,Toloka,Toloka crowd
engces021e,Toloka,Toloka crowd
engces021f,Toloka,Toloka crowd
engces0220,Toloka,Toloka crowd
engces0221,Toloka,Toloka crowd
engces0222,Toloka,Toloka crowd
engces0223,Toloka,Toloka crowd
engces0224,Toloka,Toloka crowd
engces0225,Toloka,Toloka crowd
engces0226,Toloka,Toloka crowd
engces0227,Toloka,Toloka crowd
engces0228,Toloka,Toloka crowd
engces0229,Toloka,Toloka crowd
engces022a,Toloka,Toloka crowd
engces022b,Toloka,Toloka crowd
engces022c,Toloka,Toloka crowd
engces022d,Toloka,Toloka crowd
engces022e,Toloka,Toloka crowd
engces0231,Toloka,Toloka crowd
engces0232,Toloka,Toloka crowd
engces0301,CUNI,paid annotators
engces0302,CUNI,paid annotators
engces0303,CUNI,paid annotators
engces0304,CUNI,paid annotators
engces0305,CUNI,paid annotators
engces0306,CUNI,paid annotators
engces0307,CUNI,paid annotators
engces0308,CUNI,paid annotators
engces0309,CUNI,paid annotators
engces030a,CUNI,paid annotators
engces030b,CUNI,paid annotators
engces030c,CUNI,paid annotators
engces030d,CUNI,paid annotators
engces030e,CUNI,paid annotators
engces030f,CUNI,paid annotators
engces0310,CUNI,paid annotators
engces0311,CUNI,paid annotators
engces0312,CUNI,paid annotators
engces0313,CUNI,paid annotators
engces0314,CUNI,paid annotators
engces0315,CUNI,paid annotators
engces0316,CUNI,paid annotators
engces0317,CUNI,paid annotators
engces0318,CUNI,paid annotators
engces0319,CUNI,paid annotators
engces031a,CUNI,paid annotators
engces031b,CUNI,paid annotators
engces031c,CUNI,paid annotators
engces031d,CUNI,paid annotators
engces031e,CUNI,paid annotators
engces031f,CUNI,paid annotators
engces0320,CUNI,paid annotators
engces0321,CUNI,paid annotators
engces0322,CUNI,paid annotators
engces0323,CUNI,paid annotators
engces0324,CUNI,paid annotators
engces0325,CUNI,paid annotators
engces0326,CUNI,paid annotators
engces0327,CUNI,paid annotators
engces0328,CUNI,paid annotators
engces0329,CUNI,paid annotators
engces032a,CUNI,paid annotators
engces032b,CUNI,paid annotators
engces032c,CUNI,paid annotators
engces032d,CUNI,paid annotators
engces032e,CUNI,paid annotators
engces032f,CUNI,paid annotators
engces0330,CUNI,paid annotators
engces0331,CUNI,paid annotators
engces0332,CUNI,paid annotators
engces0333,CUNI,paid annotators
engces0334,CUNI,paid annotators
engces0335,CUNI,paid annotators
engces0336,CUNI,paid annotators
engces0337,CUNI,paid annotators
engces0338,CUNI,paid annotators
engces0339,CUNI,paid annotators
engces033a,CUNI,paid annotators
engces033b,CUNI,paid annotators
engces033c,CUNI,paid annotators
engces033d,CUNI,paid annotators
engces033e,CUNI,paid annotators
engces033f,CUNI,paid annotators
engces0340,CUNI,paid annotators
engces0341,CUNI,paid annotators
engces0342,CUNI,paid annotators
engces0343,CUNI,paid annotators
engces0344,CUNI,paid annotators
engces0345,CUNI,paid annotators
engces0346,CUNI,paid annotators
engces0347,CUNI,paid annotators
engces0348,CUNI,paid annotators
engces0349,CUNI,paid annotators
engces034a,CUNI,paid annotators
engces034b,CUNI,paid annotators
engces0402,Toloka,Toloka crowd
engces0407,Toloka,Toloka crowd
engces040e,Toloka,Toloka crowd
engces040f,Toloka,Toloka crowd
engces0415,Toloka,Toloka crowd
engces6501,Microsoft,Microsoft annotators
engces6502,Microsoft,Microsoft annotators
engces6503,Microsoft,Microsoft annotators
engces6504,Microsoft,Microsoft annotators
engces6505,Microsoft,Microsoft annotators
engces6506,Microsoft,Microsoft annotators
engces6507,Microsoft,Microsoft annotators
engces6508,Microsoft,Microsoft annotators
engces6509,Microsoft,Microsoft annotators
engces650a,Microsoft,Microsoft annotators
engces650b,Microsoft,Microsoft annotators
engces650c,Microsoft,Microsoft annotators
engces650d,Microsoft,Microsoft annotators
engces650e,Microsoft,Microsoft annotators
engces650f,Microsoft,Microsoft annotators
engces6510,Microsoft,Microsoft annotators
engces6511,Microsoft,Microsoft annotators
engces6512,Microsoft,Microsoft annotators
engces6513,Microsoft,Microsoft annotators
engces6514,Microsoft,Microsoft annotators
engces6515,Microsoft,Microsoft annotators
engces6516,Microsoft,Microsoft annotators
engces6517,Microsoft,Microsoft annotators
engces6518,Microsoft,Microsoft annotators
engces6519,Microsoft,Microsoft annotators
engces651a,Microsoft,Microsoft annotators
engces651b,Microsoft,Microsoft annotators
engces651c,Microsoft,Microsoft annotators
engces651d,Microsoft,Microsoft annotators
engces651e,Microsoft,Microsoft annotators
engces651f,Microsoft,Microsoft annotators
engces6520,Microsoft,Microsoft annotators
engces6521,Microsoft,Microsoft annotators
engces6522,Microsoft,Microsoft annotators
engces6523,Microsoft,Microsoft annotators
engces6524,Microsoft,Microsoft annotators
engces6525,Microsoft,Microsoft annotators
engces6526,Microsoft,Microsoft annotators
engces6527,Microsoft,Microsoft annotators
engces6528,Microsoft,Microsoft annotators
engces6529,Microsoft,Microsoft annotators
engces652a,Microsoft,Microsoft annotators
engces652b,Microsoft,Microsoft annotators
engces652c,Microsoft,Microsoft annotators
engces652d,Microsoft,Microsoft annotators
engces652e,Microsoft,Microsoft annotators
engces652f,Microsoft,Microsoft annotators
engces6530,Microsoft,Microsoft annotators
engces6531,Microsoft,Microsoft annotators
engces6532,Microsoft,Microsoft annotators
engces6533,Microsoft,Microsoft annotators
engces6534,Microsoft,Microsoft annotators
engces6535,Microsoft,Microsoft annotators
engces6536,Microsoft,Microsoft annotators
engces6537,Microsoft,Microsoft annotators
engces6538,Microsoft,Microsoft annotators
engces6539,Microsoft,Microsoft annotators
engces653a,Microsoft,Microsoft annotators
engces653b,Microsoft,Microsoft annotators
engces653c,Microsoft,Microsoft annotators
engces653d,Microsoft,Microsoft annotators
engces653e,Microsoft,Microsoft annotators
engces653f,Microsoft,Microsoft annotators
engces6540,Microsoft,Microsoft annotators
engces6541,Microsoft,Microsoft annotators
engces6542,Microsoft,Microsoft annotators
engces6543,Microsoft,Microsoft annotators
engces6544,Microsoft,Microsoft annotators
engces6545,Microsoft,Microsoft annotators
engces6546,Microsoft,Microsoft annotators
engces6547,Microsoft,Microsoft annotators
engces6548,Microsoft,Microsoft annotators
engces6549,Microsoft,Microsoft annotators
engces654a,Microsoft,Microsoft annotators
engces654b,Microsoft,Microsoft annotators
engdeu0102,AFRL,researchers
engdeu0103,AFRL,researchers
engdeu0104,AFRL,researchers
engdeu0105,AMU,linguists
engdeu0106,AMU,linguists
engdeu0107,AMU,linguists
engdeu0108,AMU,linguists
engdeu0109,AMU,linguists
engdeu010a,AMU,linguists
engdeu010b,AMU,linguists
engdeu010c,AMU,linguists
engdeu010d,AMU,linguists
engdeu010e,AMU,linguists
engdeu010f,AMU,linguists
engdeu0110,AMU,linguists
engdeu0113,eTranslation,linguists
engdeu0114,eTranslation,linguists
engdeu0115,eTranslation,linguists
engdeu0116,eTranslation,linguists
engdeu0117,eTranslation,linguists
engdeu0118,eTranslation,linguists
engdeu0201,Toloka,Toloka crowd
engdeu0202,Toloka,Toloka crowd
engdeu0209,Toloka,Toloka crowd
engdeu020b,Toloka,Toloka crowd
engdeu020c,Toloka,Toloka crowd
engdeu020e,Toloka,Toloka crowd
engdeu020f,Toloka,Toloka crowd
engdeu0210,Toloka,Toloka crowd
engdeu0211,Toloka,Toloka crowd
engdeu0212,Toloka,Toloka crowd
engdeu0213,Toloka,Toloka crowd
engdeu0214,Toloka,Toloka crowd
engdeu0216,Toloka,Toloka crowd
engdeu0217,Toloka,Toloka crowd
engdeu0218,Toloka,Toloka crowd
engdeu021a,Toloka,Toloka crowd
engdeu021d,Toloka,Toloka crowd
engdeu021e,Toloka,Toloka crowd
engdeu021f,Toloka,Toloka crowd
engdeu0222,Toloka,Toloka crowd
engdeu0225,Toloka,Toloka crowd
engdeu0229,Toloka,Toloka crowd
engdeu022c,Toloka,Toloka crowd
engdeu022e,Toloka,Toloka crowd
engdeu0230,Toloka,Toloka crowd
engdeu0232,Toloka,Toloka crowd
engdeu0402,Toloka,Toloka crowd
engdeu0404,Toloka,Toloka crowd
engdeu0408,Toloka,Toloka crowd
engdeu040d,Toloka,Toloka crowd
engdeu0412,Toloka,Toloka crowd
engdeu0415,Toloka,Toloka crowd
engdeu0416,Toloka,Toloka crowd
engdeu0417,Toloka,Toloka crowd
engdeu041c,Toloka,Toloka crowd
engdeu0421,Toloka,Toloka crowd
engdeu0424,Toloka,Toloka crowd
engdeu042b,Toloka,Toloka crowd
engdeu042d,Toloka,Toloka crowd
engdeu6501,Microsoft,Microsoft annotators
engdeu6502,Microsoft,Microsoft annotators
engdeu6503,Microsoft,Microsoft annotators
engdeu6504,Microsoft,Microsoft annotators
engdeu6505,Microsoft,Microsoft annotators
engdeu6506,Microsoft,Microsoft annotators
engdeu6507,Microsoft,Microsoft annotators
engdeu6508,Microsoft,Microsoft annotators
engdeu6509,Microsoft,Microsoft annotators
engdeu650a,Microsoft,Microsoft annotators
engdeu650b,Microsoft,Microsoft annotators
engdeu650c,Microsoft,Microsoft annotators
engdeu650d,Microsoft,Microsoft annotators
engdeu650e,Microsoft,Microsoft annotators
engdeu650f,Microsoft,Microsoft annotators
engdeu6510,Microsoft,Microsoft annotators
engdeu6511,Microsoft,Microsoft annotators
engdeu6512,Microsoft,Microsoft annotators
engdeu6513,Microsoft,Microsoft annotators
engdeu6514,Microsoft,Microsoft annotators
engdeu6515,Microsoft,Microsoft annotators
engdeu6516,Microsoft,Microsoft annotators
engdeu6517,Microsoft,Microsoft annotators
engdeu6518,Microsoft,Microsoft annotators
engdeu6519,Microsoft,Microsoft annotators
engdeu651a,Microsoft,Microsoft annotators
engdeu651b,Microsoft,Microsoft annotators
engdeu651c,Microsoft,Microsoft annotators
engdeu651d,Microsoft,Microsoft annotators
engdeu651e,Microsoft,Microsoft annotators
engdeu651f,Microsoft,Microsoft annotators
engdeu6520,Microsoft,Microsoft annotators
engdeu6521,Microsoft,Microsoft annotators
engdeu6522,Microsoft,Microsoft annotators
engdeu6523,Microsoft,Microsoft annotators
engdeu6524,Microsoft,Microsoft annotators
engdeu6525,Microsoft,Microsoft annotators
engdeu6526,Microsoft,Microsoft annotators
engdeu6527,Microsoft,Microsoft annotators
engdeu6528,Microsoft,Microsoft annotators
engdeu6529,Microsoft,Microsoft annotators
engdeu652a,Microsoft,Microsoft annotators
engdeu652b,Microsoft,Microsoft annotators
engdeu652c,Microsoft,Microsoft annotators
engdeu652d,Microsoft,Microsoft annotators
engdeu652e,Microsoft,Microsoft annotators
engdeu652f,Microsoft,Microsoft annotators
engdeu6530,Microsoft,Microsoft annotators
engdeu6531,Microsoft,Microsoft annotators
engdeu6532,Microsoft,Microsoft annotators
engdeu6533,Microsoft,Microsoft annotators
engdeu6534,Microsoft,Microsoft annotators
engdeu6535,Microsoft,Microsoft annotators
engdeu6536,Microsoft,Microsoft annotators
engdeu6537,Microsoft,Microsoft annotators
engdeu6538,Microsoft,Microsoft annotators
engdeu6539,Microsoft,Microsoft annotators
engdeu653a,Microsoft,Microsoft annotators
engdeu653b,Microsoft,Microsoft annotators
engdeu653c,Microsoft,Microsoft annotators
engdeu653d,Microsoft,Microsoft annotators
engdeu653e,Microsoft,Microsoft annotators
engdeu653f,Microsoft,Microsoft annotators
engdeu6540,Microsoft,Microsoft annotators
engdeu6541,Microsoft,Microsoft annotators
engdeu6542,Microsoft,Microsoft annotators
engdeu6543,Microsoft,Microsoft annotators
engdeu6544,Microsoft,Microsoft annotators
engdeu6545,Microsoft,Microsoft annotators
engdeu6546,Microsoft,Microsoft annotators
engdeu6547,Microsoft,Microsoft annotators
engdeu6548,Microsoft,Microsoft annotators
engdeu6549,Microsoft,Microsoft annotators
engdeu654a,Microsoft,Microsoft annotators
engdeu654b,Microsoft,Microsoft annotators
enghau0101,TWB,linguists
enghau0103,TWB,linguists
enghau010b,TWB,linguists
enghau0202,Toloka,Toloka crowd
enghau0203,Toloka,Toloka crowd
enghau020a,Toloka,Toloka crowd
enghau020c,Toloka,Toloka crowd
enghau020e,Toloka,Toloka crowd
enghau0211,Toloka,Toloka crowd
enghau0212,Toloka,Toloka crowd
enghau0213,Toloka,Toloka crowd
enghau0215,Toloka,Toloka crowd
enghau0216,Toloka,Toloka crowd
enghau0218,Toloka,Toloka crowd
enghau0219,Toloka,Toloka crowd
enghau021b,Toloka,Toloka crowd
enghau021e,Toloka,Toloka crowd
enghau021f,Toloka,Toloka crowd
enghau0220,Toloka,Toloka crowd
enghau0223,Toloka,Toloka crowd
enghau0227,Toloka,Toloka crowd
enghau0228,Toloka,Toloka crowd
enghau0229,Toloka,Toloka crowd
enghau022b,Toloka,Toloka crowd
enghau022c,Toloka,Toloka crowd
enghau022f,Toloka,Toloka crowd
enghau0232,Toloka,Toloka crowd
enghau0407,Toloka,Toloka crowd
enghau040a,Toloka,Toloka crowd
enghau040c,Toloka,Toloka crowd
enghau040d,Toloka,Toloka crowd
enghau0410,Toloka,Toloka crowd
enghau0414,Toloka,Toloka crowd
enghau0425,Toloka,Toloka crowd
enghau0427,Toloka,Toloka crowd
enghau0428,Toloka,Toloka crowd
enghau042b,Toloka,Toloka crowd
enghau042f,Toloka,Toloka crowd
enghau0430,Toloka,Toloka crowd
enghau6501,Microsoft,Microsoft annotators
enghau6502,Microsoft,Microsoft annotators
enghau6503,Microsoft,Microsoft annotators
enghau6504,Microsoft,Microsoft annotators
enghau6505,Microsoft,Microsoft annotators
enghau6506,Microsoft,Microsoft annotators
enghau6507,Microsoft,Microsoft annotators
enghau6508,Microsoft,Microsoft annotators
enghau6509,Microsoft,Microsoft annotators
enghau650a,Microsoft,Microsoft annotators
enghau650b,Microsoft,Microsoft annotators
enghau650c,Microsoft,Microsoft annotators
enghau650d,Microsoft,Microsoft annotators
enghau650e,Microsoft,Microsoft annotators
enghau650f,Microsoft,Microsoft annotators
enghau6510,Microsoft,Microsoft annotators
enghau6511,Microsoft,Microsoft annotators
enghau6512,Microsoft,Microsoft annotators
enghau6513,Microsoft,Microsoft annotators
enghau6514,Microsoft,Microsoft annotators
enghau6515,Microsoft,Microsoft annotators
enghau6516,Microsoft,Microsoft annotators
enghau6517,Microsoft,Microsoft annotators
enghau6519,Microsoft,Microsoft annotators
enghau651a,Microsoft,Microsoft annotators
enghau651b,Microsoft,Microsoft annotators
enghau651c,Microsoft,Microsoft annotators
enghau651d,Microsoft,Microsoft annotators
enghau651e,Microsoft,Microsoft annotators
enghau651f,Microsoft,Microsoft annotators
enghau6520,Microsoft,Microsoft annotators
enghau6522,Microsoft,Microsoft annotators
enghau6525,Microsoft,Microsoft annotators
enghau6528,Microsoft,Microsoft annotators
enghau6529,Microsoft,Microsoft annotators
enghau652a,Microsoft,Microsoft annotators
enghau652b,Microsoft,Microsoft annotators
enghau652c,Microsoft,Microsoft annotators
enghau652d,Microsoft,Microsoft annotators
enghau652e,Microsoft,Microsoft annotators
enghau652f,Microsoft,Microsoft annotators
enghau6530,Microsoft,Microsoft annotators
enghau6533,Microsoft,Microsoft annotators
enghau6534,Microsoft,Microsoft annotators
enghau6535,Microsoft,Microsoft annotators
enghau6536,Microsoft,Microsoft annotators
enghau6537,Microsoft,Microsoft annotators
enghau6539,Microsoft,Microsoft annotators
enghau653a,Microsoft,Microsoft annotators
enghau653b,Microsoft,Microsoft annotators
enghau653c,Microsoft,Microsoft annotators
enghau653e,Microsoft,Microsoft annotators
enghau653f,Microsoft,Microsoft annotators
enghau6540,Microsoft,Microsoft annotators
enghau6541,Microsoft,Microsoft annotators
enghau6542,Microsoft,Microsoft annotators
enghau6543,Microsoft,Microsoft annotators
enghau6544,Microsoft,Microsoft annotators
enghau6545,Microsoft,Microsoft annotators
enghau6546,Microsoft,Microsoft annotators
enghau6547,Microsoft,Microsoft annotators
enghau6548,Microsoft,Microsoft annotators
enghau6549,Microsoft,Microsoft annotators
enghau654a,Microsoft,Microsoft annotators
enghau654b,Microsoft,Microsoft annotators
engisl0101,Mideind,linguists
engisl0102,Mideind,linguists
engisl0103,Mideind,linguists
engisl0104,Mideind,linguists
engisl0105,Mideind,linguists
engisl0106,Mideind,linguists
engisl0107,Mideind,linguists
engisl0108,Mideind,linguists
engisl0109,Mideind,linguists
engisl010a,Mideind,linguists
engisl010b,Mideind,linguists
engisl010c,Mideind,linguists
engisl0201,Toloka,Toloka crowd
engisl0207,Toloka,Toloka crowd
engisl021d,Toloka,Toloka crowd
engisl0221,Toloka,Toloka crowd
engisl0229,Toloka,Toloka crowd
engisl6501,Microsoft,Microsoft annotators
engisl6502,Microsoft,Microsoft annotators
engisl6503,Microsoft,Microsoft annotators
engisl6504,Microsoft,Microsoft annotators
engisl6505,Microsoft,Microsoft annotators
engisl6506,Microsoft,Microsoft annotators
engisl6507,Microsoft,Microsoft annotators
engisl6508,Microsoft,Microsoft annotators
engisl6509,Microsoft,Microsoft annotators
engisl650a,Microsoft,Microsoft annotators
engisl650b,Microsoft,Microsoft annotators
engisl650c,Microsoft,Microsoft annotators
engisl650d,Microsoft,Microsoft annotators
engisl650e,Microsoft,Microsoft annotators
engisl650f,Microsoft,Microsoft annotators
engisl6510,Microsoft,Microsoft annotators
engisl6511,Microsoft,Microsoft annotators
engisl6512,Microsoft,Microsoft annotators
engisl6513,Microsoft,Microsoft annotators
engisl6514,Microsoft,Microsoft annotators
engisl6515,Microsoft,Microsoft annotators
engisl6516,Microsoft,Microsoft annotators
engisl6517,Microsoft,Microsoft annotators
engisl6518,Microsoft,Microsoft annotators
engisl6519,Microsoft,Microsoft annotators
engisl651a,Microsoft,Microsoft annotators
engisl651b,Microsoft,Microsoft annotators
engisl651c,Microsoft,Microsoft annotators
engisl651d,Microsoft,Microsoft annotators
engisl651e,Microsoft,Microsoft annotators
engisl651f,Microsoft,Microsoft annotators
engisl6520,Microsoft,Microsoft annotators
engisl6521,Microsoft,Microsoft annotators
engisl6522,Microsoft,Microsoft annotators
engisl6523,Microsoft,Microsoft annotators
engisl6524,Microsoft,Microsoft annotators
engisl6525,Microsoft,Microsoft annotators
engisl6526,Microsoft,Microsoft annotators
engisl6527,Microsoft,Microsoft annotators
engisl6528,Microsoft,Microsoft annotators
engisl6529,Microsoft,Microsoft annotators
engisl652a,Microsoft,Microsoft annotators
engisl652b,Microsoft,Microsoft annotators
engisl652c,Microsoft,Microsoft annotators
engisl652d,Microsoft,Microsoft annotators
engisl652e,Microsoft,Microsoft annotators
engisl652f,Microsoft,Microsoft annotators
engisl6530,Microsoft,Microsoft annotators
engisl6531,Microsoft,Microsoft annotators
engisl6532,Microsoft,Microsoft annotators
engisl6533,Microsoft,Microsoft annotators
engisl6534,Microsoft,Microsoft annotators
engisl6535,Microsoft,Microsoft annotators
engisl6536,Microsoft,Microsoft annotators
engisl6537,Microsoft,Microsoft annotators
engisl6538,Microsoft,Microsoft annotators
engisl6539,Microsoft,Microsoft annotators
engisl653a,Microsoft,Microsoft annotators
engisl653b,Microsoft,Microsoft annotators
engisl653c,Microsoft,Microsoft annotators
engisl653d,Microsoft,Microsoft annotators
engisl653e,Microsoft,Microsoft annotators
engisl653f,Microsoft,Microsoft annotators
engisl6540,Microsoft,Microsoft annotators
engisl6541,Microsoft,Microsoft annotators
engisl6542,Microsoft,Microsoft annotators
engisl6543,Microsoft,Microsoft annotators
engisl6544,Microsoft,Microsoft annotators
engisl6545,Microsoft,Microsoft annotators
engisl6546,Microsoft,Microsoft annotators
engisl6547,Microsoft,Microsoft annotators
engisl6548,Microsoft,Microsoft annotators
engisl6549,Microsoft,Microsoft annotators
engisl654a,Microsoft,Microsoft annotators
engisl654b,Microsoft,Microsoft annotators
engjpn0101,Fujitsu Japan DMATH,researchers
engjpn0102,Fujitsu Japan DMATH,researchers
engjpn0103,Fujitsu Japan DMATH,researchers
engjpn0104,Fujitsu Japan DMATH,researchers
engjpn0105,Fujitsu Japan DMATH,researchers
engjpn0106,Fujitsu Japan DMATH,researchers
engjpn0107,LISN,students
engjpn0108,LISN,students
engjpn0109,LISN,students
engjpn010a,LISN,students
engjpn010b,LISN,students
engjpn010c,LISN,students
engjpn010d,MiSS,researchers
