HITId WorkerId  src trg item  hit work-seconds  accept  submit  approval
3S1WOPCJFGTATZB0IH03W3X67FWJET M0770 zh en ad 378 2489.0 "Wed Sep 15 05:52:32 2021" "Wed Sep 15 06:34:01 2021" Submitted
3T5ZXGO9DEOPQH699UYPEEAA9GXQZX M1621 zh en ad 22 1741.0 "Wed Sep 15 04:11:55 2021" "Wed Sep 15 04:40:56 2021" Submitted
3NSM4HLQNRUGCP5IMYFCNLY64DCQQ3 M1045 zh en ad 379 2557.0 "Wed Sep 15 05:12:35 2021" "Wed Sep 15 05:55:12 2021" Submitted
344M16OZKIF6CP2LXFSVPAENGZ1ENS M0289 zh en ad 381 881.0 "Wed Sep 15 09:07:56 2021" "Wed Sep 15 09:22:37 2021" Submitted
30F94FBDNRK60ZVLKKCHX1EU2KABTQ M0201 zh en ad 25 471.0 "Wed Sep 15 01:39:23 2021" "Wed Sep 15 01:47:14 2021" Submitted
32ZCLEW0BZKEQQ0QRVGEQFWALMYJPE M1092 zh en ad 29 6097.0 "Wed Sep 15 08:59:49 2021" "Wed Sep 15 10:41:26 2021" Submitted
3YCT0L9OMM97M873YAC0ERI2HQANS2 M0185 zh en ad 384 2418.0 "Wed Sep 15 10:14:26 2021" "Wed Sep 15 10:54:44 2021" Submitted
39WSF6KUV2LOUA2XYUS84ZES696EO7 M0779 zh en ad 386 171.0 "Wed Sep 15 05:28:09 2021" "Wed Sep 15 05:31:00 2021" Submitted
3ZRKL6Z1E831CGQHB6Z5O795GEOGSN M0779 zh en ad 31 263.0 "Wed Sep 15 05:01:51 2021" "Wed Sep 15 05:06:14 2021" Submitted
3PEG1BH7AER7XG5YQBYPWARYJ7JBKK M0077 zh en ad 387 3380.0 "Wed Sep 15 06:49:35 2021" "Wed Sep 15 07:45:55 2021" Submitted
3UXQ63NLAAMIHMNGBBAQBA4D87OBLN M0363 zh en ad 389 4693.0 "Wed Sep 15 12:45:10 2021" "Wed Sep 15 14:03:23 2021" Submitted
31SIZS5W59FGOQKIZD4CSB8B0ZEQR4 M1480 zh en ad 390 5326.0 "Wed Sep 15 02:52:57 2021" "Wed Sep 15 04:21:43 2021" Submitted
3BAKUKE49HCS7M01EYEXRA03SNMR1A M0185 zh en ad 32 2363.0 "Wed Sep 15 10:19:26 2021" "Wed Sep 15 10:58:49 2021" Submitted
3FI30CQHVKJ0Y1K9O74OMRMGICZ6BA M0354 zh en ad 392 911.0 "Wed Sep 15 03:58:04 2021" "Wed Sep 15 04:13:15 2021" Submitted
38DCH97KHH2ZQ215R8V3QKMKQIKJQ5 M1649 zh en ad 33 670.0 "Wed Sep 15 03:05:52 2021" "Wed Sep 15 03:17:02 2021" Submitted
388CL5C1RJNS8ZQ2B3KMXL7B3KTLHD M0882 zh en ad 35 5997.0 "Wed Sep 15 08:29:21 2021" "Wed Sep 15 10:09:18 2021" Submitted
3QQUBC64ZEEFIPT2SKINDZZUW5CNXA M1586 zh en ad 37 988.0 "Wed Sep 15 03:05:01 2021" "Wed Sep 15 03:21:29 2021" Submitted
31ODACBENUFSP5KVE24HILD7M1XQSS M1649 zh en ad 394 915.0 "Wed Sep 15 09:05:36 2021" "Wed Sep 15 09:20:51 2021" Submitted
36AZSFEYZ40LDRZAPFCWYJ2FZ5QBV6 M0856 zh en ad 39 1281.0 "Wed Sep 15 09:07:08 2021" "Wed Sep 15 09:28:29 2021" Submitted
36GJS3V78VQ8DD7ROCQRW6IIKVBJGA M0830 zh en ad 396 3696.0 "Wed Sep 15 06:22:23 2021" "Wed Sep 15 07:23:59 2021" Submitted
3P4C70TRMRHE83VRRX24CLVAOKGGL9 M0522 zh en ad 397 2141.0 "Wed Sep 15 06:24:49 2021" "Wed Sep 15 07:00:30 2021" Submitted
3BFF0DJK8XC5HLCNV6YCNQOU68WST8 M0880 zh en ad 46 1400.0 "Wed Sep 15 05:23:46 2021" "Wed Sep 15 05:47:06 2021" Submitted
3GS542CVJVNLR45YL4GN3FDQYHL95N M0598 zh en ad 398 3894.0 "Wed Sep 15 07:25:16 2021" "Wed Sep 15 08:30:10 2021" Submitted
35U0MRQMUJ75WLOJTKHI432E649VOU M0592 zh en ad 47 275.0 "Wed Sep 15 06:04:14 2021" "Wed Sep 15 06:08:49 2021" Submitted
3126F2F5F836FAEYDU5NTZJIGE2EPO M0830 zh en ad 399 5868.0 "Wed Sep 15 06:22:24 2021" "Wed Sep 15 08:00:12 2021" Submitted
31HLTCK4BLVH487L514AZUTCFIIGVS M0344 zh en ad 52 2934.0 "Wed Sep 15 05:03:53 2021" "Wed Sep 15 05:52:47 2021" Submitted
3PKJ68EHDNWMD9228I89H6UJZVOJH9 M0910 zh en ad 400 2812.0 "Wed Sep 15 05:10:01 2021" "Wed Sep 15 05:56:53 2021" Submitted
388FBO7JZRT4IUJCXG4PWD63YB6NYG M0590 zh en ad 53 2670.0 "Wed Sep 15 05:52:52 2021" "Wed Sep 15 06:37:22 2021" Submitted
3GV1I4SEO9PCBA6LFKTI0UILU6DL6C M0779 zh en ad 401 206.0 "Wed Sep 15 05:31:02 2021" "Wed Sep 15 05:34:28 2021" Submitted
3WYZV0QBFJDDHG45PUDEM4Z0FGYBX9 M0455 zh en ad 54 2485.0 "Wed Sep 15 04:55:38 2021" "Wed Sep 15 05:37:03 2021" Submitted
37G6BXQPLQLRFMFDD7KCT49SLAOEQF M1534 zh en ad 402 440.0 "Wed Sep 15 08:18:53 2021" "Wed Sep 15 08:26:13 2021" Submitted
3QTFNPMJC6I4NKTHT268AKF545ANZ7 M1550 zh en ad 55 1102.0 "Wed Sep 15 05:47:30 2021" "Wed Sep 15 06:05:52 2021" Submitted
3L55D8AUFAXLRQML8QVBG2CRZ7SYC9 M1649 zh en ad 56 1570.0 "Wed Sep 15 03:18:22 2021" "Wed Sep 15 03:44:32 2021" Submitted
3KQC8JMJGCSBSV0D5XGM1ZDU3Y2H3V M1612 zh en ad 57 1248.0 "Wed Sep 15 03:08:29 2021" "Wed Sep 15 03:29:17 2021" Submitted
3CMV9YRYP31OZ5LSZ3N79YNQGCXLJI M1284 zh en ad 58 6775.0 "Wed Sep 15 06:05:38 2021" "Wed Sep 15 07:58:33 2021" Submitted
3AQN9REUTFGVWISZ8MQM08U9K74YD9 M0709 zh en ad 61 1091.0 "Wed Sep 15 08:41:12 2021" "Wed Sep 15 08:59:23 2021" Submitted
3M7OI89LVYOJ86CF270JXBSY0XZ6CH M0779 zh en ad 403 225.0 "Wed Sep 15 05:24:22 2021" "Wed Sep 15 05:28:07 2021" Submitted
3FVBZG9CLJEFB31GMAY3Z1FN0MIH00 M0670 zh en ad 62 955.0 "Wed Sep 15 08:00:01 2021" "Wed Sep 15 08:15:56 2021" Submitted
38EHZ67RIMSYELDCR93JCYAZOP6GMB M1586 zh en ad 407 1872.0 "Wed Sep 15 02:17:08 2021" "Wed Sep 15 02:48:20 2021" Submitted
3ZXNP4Z39RLVFAKQYUYA68IHPHXL7B M1589 zh en ad 409 1938.0 "Wed Sep 15 03:57:43 2021" "Wed Sep 15 04:30:01 2021" Submitted
36QZ6V1589DKHYRCVBOMSMAWPM3SUZ M0062 zh en ad 63 479.0 "Wed Sep 15 01:51:58 2021" "Wed Sep 15 01:59:57 2021" Submitted
3QREJ3J433XJAPRAHONJADN3V1XLKH M0910 zh en ad 64 2458.0 "Wed Sep 15 04:24:01 2021" "Wed Sep 15 05:04:59 2021" Submitted
38B7Q9C28G5HA85CQNQSVLRQUCW963 M0363 zh en ad 410 3821.0 "Wed Sep 15 12:45:09 2021" "Wed Sep 15 13:48:50 2021" Submitted
33EEIIWHK778HX1Z8X9MT8XEL5RVQ2 M0526 zh en ad 65 1058.0 "Wed Sep 15 07:37:45 2021" "Wed Sep 15 07:55:23 2021" Submitted
31JUPBOORN4ZFOP98ZQGK8EC013L8Y M1572 zh en ad 411 3983.0 "Wed Sep 15 09:55:43 2021" "Wed Sep 15 11:02:06 2021" Submitted
39I4RL8QGJHWARJH5BL5B450HYYH4G M1042 zh en ad 69 710.0 "Wed Sep 15 05:41:17 2021" "Wed Sep 15 05:53:07 2021" Submitted
3NQUW096N68ZTT8JDRWUK49NK7LL9N M1020 zh en ad 412 756.0 "Wed Sep 15 04:28:32 2021" "Wed Sep 15 04:41:08 2021" Submitted
3URJ6VVYUPN628549OGVVD21TKCO4B M1101 zh en ad 73 590.0 "Wed Sep 15 10:24:25 2021" "Wed Sep 15 10:34:15 2021" Submitted
3D7VY91L65X2N451BNB5BNJ28CEBMP M0784 zh en ad 414 6213.0 "Wed Sep 15 06:33:59 2021" "Wed Sep 15 08:17:32 2021" Submitted
35ZRNT9RUIYLKCM09ABCL8AVFKGO3Q M0715 zh en ad 74 1160.0 "Wed Sep 15 05:09:02 2021" "Wed Sep 15 05:28:22 2021" Submitted
3BS6ERDL937TDYIT23VUHHAGLXB6DH M1177 zh en ad 415 3296.0 "Wed Sep 15 03:53:31 2021" "Wed Sep 15 04:48:27 2021" Submitted
3EKTG13IZU3E0DRD200ZPQF7K6SLMM M0517 zh en ad 75 4766.0 "Wed Sep 15 01:41:27 2021" "Wed Sep 15 03:00:53 2021" Submitted
3NCN4N1H1GH85MQ1NOQ5O282D2OBNP M0363 zh en ad 416 2744.0 "Wed Sep 15 12:45:08 2021" "Wed Sep 15 13:30:52 2021" Submitted
3W5PY7V3UP78Z4SRIICX36PMPR1YJN M1449 zh en ad 76 236.0 "Wed Sep 15 14:51:17 2021" "Wed Sep 15 14:55:13 2021" Submitted
3XJOUITW8URT45XA3297SQ9TOKBQTH M1546 zh en ad 419 1565.0 "Wed Sep 15 05:49:43 2021" "Wed Sep 15 06:15:48 2021" Submitted
3HA5ODM5KASKUDGC01YRO8CF3TCSVO M1392 zh en ad 77 347.0 "Wed Sep 15 01:32:10 2021" "Wed Sep 15 01:37:57 2021" Submitted
3S4TINXCC0NQN7QDO3QI3R873CTBO4 M1534 zh en ad 420 432.0 "Wed Sep 15 06:51:28 2021" "Wed Sep 15 06:58:40 2021" Submitted
31GN6YMHLPSX92GHQB3NAAVTA2ESWY M0685 zh en ad 79 977.0 "Wed Sep 15 06:43:27 2021" "Wed Sep 15 06:59:44 2021" Submitted
3U74KRR67ML818KINAHQOWEOJ9ONTR M0744 zh en ad 422 4249.0 "Wed Sep 15 08:16:07 2021" "Wed Sep 15 09:26:56 2021" Submitted
336OE47KI2KD1UXLK68SLXF0968VW6 M0996 zh en ad 83 2135.0 "Wed Sep 15 06:38:51 2021" "Wed Sep 15 07:14:26 2021" Submitted
3WA2XVDZEMHY54WTYY6ENZS1L9C6EA M0354 zh en ad 424 730.0 "Wed Sep 15 02:35:02 2021" "Wed Sep 15 02:47:12 2021" Submitted
3E6L1VR4XWMQBIWPT9QK5HD1XAR6FS M0066 zh en ad 426 778.0 "Wed Sep 15 08:11:39 2021" "Wed Sep 15 08:24:37 2021" Submitted
3TCFMTM8HEOB32JGZ8ZWQ2SVGV7126 M1626 zh en ad 84 547.0 "Wed Sep 15 09:41:26 2021" "Wed Sep 15 09:50:33 2021" Submitted
3RDTX9JRTY10E8JH9XVK1ZRMPNG972 M0856 zh en ad 427 1571.0 "Wed Sep 15 09:07:15 2021" "Wed Sep 15 09:33:26 2021" Submitted
37Y5RYYI0P5CY2L70GZ9CT90J4KSXR M1155 zh en ad 85 664.0 "Wed Sep 15 06:59:52 2021" "Wed Sep 15 07:10:56 2021" Submitted
3APP19WN71EWPISK4TW2N2DDYPR6GR M0598 zh en ad 428 2930.0 "Wed Sep 15 06:36:25 2021" "Wed Sep 15 07:25:15 2021" Submitted
3SR6AEG6W5TC8YX1UI9CRT97CZXYHI M1649 zh en ad 91 767.0 "Wed Sep 15 08:52:34 2021" "Wed Sep 15 09:05:21 2021" Submitted
3PIOQ99R7YMN1LZ7NF70TS0Q2NVNUI M0036 zh en ad 430 6205.0 "Wed Sep 15 02:40:30 2021" "Wed Sep 15 04:23:55 2021" Submitted
3OZ4VAIBEXFRVAXMD7PDW7LS7AZJVZ M0282 zh en ad 93 1798.0 "Wed Sep 15 08:39:37 2021" "Wed Sep 15 09:09:35 2021" Submitted
3IJ95K7NDXC4W3YC3AIJPDZZTFGGNB M0701 zh en ad 432 479.0 "Wed Sep 15 04:31:16 2021" "Wed Sep 15 04:39:15 2021" Submitted
3D17ECOUOEV0OKFZ38D19CXNM9713H M0237 zh en ad 95 207.0 "Wed Sep 15 07:12:43 2021" "Wed Sep 15 07:16:10 2021" Submitted
3TKXBROM5TAM94DME0QUHIVYZ83JI2 M0320 zh en ad 433 6045.0 "Wed Sep 15 06:29:31 2021" "Wed Sep 15 08:10:16 2021" Submitted
32TZXEA1OLKL6GY33MIKJHPT093142 M1050 zh en ad 96 1178.0 "Wed Sep 15 13:56:29 2021" "Wed Sep 15 14:16:07 2021" Submitted
3UQ1LLR26A8DYCIO5XAUGZK7QP3LA2 M1546 zh en ad 435 1512.0 "Wed Sep 15 05:24:03 2021" "Wed Sep 15 05:49:15 2021" Submitted
3TY2U1TEB7AI4FXSWIBUTJAYCNSJJE M0831 zh en ad 439 6292.0 "Wed Sep 15 06:49:31 2021" "Wed Sep 15 08:34:23 2021" Submitted
3PGQRAZX02K1Y7BH5CLBV7G9LAESYX M0167 zh en ad 98 331.0 "Thu Sep 16 00:35:32 2021" "Thu Sep 16 00:41:03 2021" Submitted
3LG268AV386RRNUDQM9CYUJXHWQERG M1166 zh en ad 443 5775.0 "Wed Sep 15 07:14:32 2021" "Wed Sep 15 08:50:47 2021" Submitted
39O6Z4JLX2XSQU2BUB4ENGT7I8EVXZ M0458 zh en ad 99 2052.0 "Wed Sep 15 08:39:19 2021" "Wed Sep 15 09:13:31 2021" Submitted
3UXQ63NLAAMIHMNGBBAQBA4D87OLBX M0664 zh en ad 445 5773.0 "Wed Sep 15 06:27:42 2021" "Wed Sep 15 08:03:55 2021" Submitted
371Q3BEXDH913XLM1YNU9EPBR4ISZO M1521 zh en ad 100 1024.0 "Wed Sep 15 04:30:51 2021" "Wed Sep 15 04:47:55 2021" Submitted
31MBOZ6PAOR1RRFMPB6LMUAVQSOLC4 M0101 zh en ad 446 2267.0 "Wed Sep 15 03:32:05 2021" "Wed Sep 15 04:09:52 2021" Submitted
3OPLMF3EU5NKIVCDE1FZ2547PW2LNM M1554 zh en ad 101 2505.0 "Wed Sep 15 05:51:03 2021" "Wed Sep 15 06:32:48 2021" Submitted
3SU800BH86S84ICZ37ZHXMVV7YIQU8 M0783 zh en ad 448 1863.0 "Wed Sep 15 01:36:30 2021" "Wed Sep 15 02:07:33 2021" Submitted
3E24UO25QZQKHV9ISC9ASBMFPBIO6W M0551 zh en ad 102 1540.0 "Wed Sep 15 04:38:40 2021" "Wed Sep 15 05:04:20 2021" Submitted
3XH7ZM9YX2UAWR3WIBTQ6GIMQZAR9J M0701 zh en ad 103 481.0 "Wed Sep 15 04:14:13 2021" "Wed Sep 15 04:22:14 2021" Submitted
33EEIIWHK778HX1Z8X9MT8XEL5RQVX M0116 zh en ad 450 2208.0 "Wed Sep 15 04:55:06 2021" "Wed Sep 15 05:31:54 2021" Submitted
34HEO7RUG6UO1AD1AH7Q2BT6WHSRAY M0592 zh en ad 105 375.0 "Wed Sep 15 08:56:01 2021" "Wed Sep 15 09:02:16 2021" Submitted
3TZ0XG8CBUK4EMO0J2NQFZNH07M98P M0185 zh en ad 452 1733.0 "Wed Sep 15 09:37:41 2021" "Wed Sep 15 10:06:34 2021" Submitted
385MDVINFCF4AZXR3HU9I946EJ1JW9 M1546 zh en ad 106 1583.0 "Wed Sep 15 06:12:25 2021" "Wed Sep 15 06:38:48 2021" Submitted
3NBFJK3IOHIMEOYO4PIW42Z4JPLGOQ M0420 zh en ad 453 808.0 "Wed Sep 15 10:22:46 2021" "Wed Sep 15 10:36:14 2021" Submitted
3EHIMLB7F7ZXTS6JHEBISGL5JKUH8N M0701 zh en ad 113 541.0 "Wed Sep 15 04:22:14 2021" "Wed Sep 15 04:31:15 2021" Submitted
3Q7TKIAPOTABWJL0P71W60SDBS0LD4 M0490 zh en ad 456 5621.0 "Wed Sep 15 07:57:19 2021" "Wed Sep 15 09:31:00 2021" Submitted
3EN4YVUOUCSJZZ2HDMQVKSIDNL7JX2 M0677 zh en ad 114 718.0 "Wed Sep 15 07:27:54 2021" "Wed Sep 15 07:39:52 2021" Submitted
373L46LKP76DFZ3AE3B6UYABRCSJKD M0888 zh en ad 457 1393.0 "Wed Sep 15 09:13:49 2021" "Wed Sep 15 09:37:02 2021" Submitted
371QPA24C2O5N1DTINJSRP1LG8JT1P M1067 zh en ad 115 2887.0 "Wed Sep 15 08:54:43 2021" "Wed Sep 15 09:42:50 2021" Submitted
3VADEH0UHCX7PTJGEPPSIGNXH5BSP3 M0882 zh en ad 458 5412.0 "Wed Sep 15 10:17:04 2021" "Wed Sep 15 11:47:16 2021" Submitted
3566S7OX5DJIP3GM5KGRMT93RBT17M M0294 zh en ad 117 820.0 "Wed Sep 15 05:15:25 2021" "Wed Sep 15 05:29:05 2021" Submitted
3KLL7H3EGD1V442WP7MSKU5DUIVVH6 M1346 zh en ad 460 4781.0 "Wed Sep 15 01:41:19 2021" "Wed Sep 15 03:01:00 2021" Submitted
30OITAWPBQ3X7XPTM6HWSCGG3QCH9C M0242 zh en ad 119 3754.0 "Wed Sep 15 04:27:34 2021" "Wed Sep 15 05:30:08 2021" Submitted
3NKW03WTLM7LWM14Y7EIFAGSSETQW7 M0661 zh en ad 462 1175.0 "Wed Sep 15 08:38:04 2021" "Wed Sep 15 08:57:39 2021" Submitted
3BPP3MA3TCKGOPZ0L2CGCIAYB41LEX M0503 zh en ad 463 4356.0 "Wed Sep 15 13:27:58 2021" "Wed Sep 15 14:40:34 2021" Submitted
388FBO7JZRT4IUJCXG4PWD63YB6YNR M1168 zh en ad 120 2695.0 "Wed Sep 15 10:52:52 2021" "Wed Sep 15 11:37:47 2021" Submitted
3QO7EE372ONT8J3T3GIMSW37IDBBQC M0996 zh en ad 470 820.0 "Wed Sep 15 06:15:56 2021" "Wed Sep 15 06:29:36 2021" Submitted
30Y6N4AHYPWMZHGDURYSSC1CHKPRD0 M0115 zh en ad 121 2047.0 "Wed Sep 15 09:56:53 2021" "Wed Sep 15 10:31:00 2021" Submitted
3T2EL38U0MK0LM6U8CA4HTUZ1GZQX0 M0354 zh en ad 471 595.0 "Wed Sep 15 04:34:44 2021" "Wed Sep 15 04:44:39 2021" Submitted
3LG268AV386RRNUDQM9CYUJXHWQRET M1101 zh en ad 125 866.0 "Wed Sep 15 10:25:58 2021" "Wed Sep 15 10:40:24 2021" Submitted
302U8RURJZ1NE0O7S5H5PE29GU4NV7 M1612 zh en ad 474 3613.0 "Wed Sep 15 06:58:21 2021" "Wed Sep 15 07:58:34 2021" Submitted
3XEDXEGFX3O6DT2OSV10CTVFS3MK07 M0608 zh en ad 127 1067.0 "Wed Sep 15 02:12:31 2021" "Wed Sep 15 02:30:18 2021" Submitted
3TZDZ3Y0JS6M3M4FKHEB0P09M1H19Y M0244 zh en ad 128 158.0 "Wed Sep 15 09:36:35 2021" "Wed Sep 15 09:39:13 2021" Submitted
3OLZC0DJ8JFV0ZDGVP4DK66SUVAVIZ M1470 zh en ad 475 1196.0 "Wed Sep 15 07:01:52 2021" "Wed Sep 15 07:21:48 2021" Submitted
3D0LPO3EABZM0FJOYV42B268OLBYO6 M0701 zh en ad 129 780.0 "Wed Sep 15 03:41:55 2021" "Wed Sep 15 03:54:55 2021" Submitted
3VW0145YLYC85N3DZFOM9B2FGHNJMI M0556 zh en ad 477 1122.0 "Wed Sep 15 09:03:59 2021" "Wed Sep 15 09:22:41 2021" Submitted
3W0XM68YZPV6KIN6OE50QYEPXVSK1A M0737 zh en ad 131 2158.0 "Wed Sep 15 09:37:34 2021" "Wed Sep 15 10:13:32 2021" Submitted
3LXX8KJXPW97ZEBGQJCMCLDHFCQO97 M0030 zh en ad 133 452.0 "Wed Sep 15 08:13:18 2021" "Wed Sep 15 08:20:50 2021" Submitted
3SX4X51T809L4XLLIPQM8GO1LU8OAM M0911 zh en ad 135 1825.0 "Wed Sep 15 04:38:25 2021" "Wed Sep 15 05:08:50 2021" Submitted
31ODACBENUFSP5KVE24HILD7M1XSQU M0532 zh en ad 480 246.0 "Wed Sep 15 14:38:36 2021" "Wed Sep 15 14:42:42 2021" Submitted
3BKZLF990ZZPLRW4D8W607183MTQY6 M0363 zh en ad 481 1337.0 "Wed Sep 15 12:45:07 2021" "Wed Sep 15 13:07:24 2021" Submitted
3JMNNNO3B14443ZJWWOHJSIPC8FW2Z M0779 zh en ad 136 219.0 "Wed Sep 15 05:20:33 2021" "Wed Sep 15 05:24:12 2021" Submitted
3TL87MO8CMP8U3ZWGDWMU0VYN5GLFF M1156 zh en ad 482 1650.0 "Wed Sep 15 10:05:24 2021" "Wed Sep 15 10:32:54 2021" Submitted
356ZPKYPUHH4LFVPDVHH02BYYQ7YPN M0909 zh en ad 137 3450.0 "Wed Sep 15 02:46:14 2021" "Wed Sep 15 03:43:44 2021" Submitted
379OL9DBSSEJTSFIW6LKECBJTMPY9S M1363 zh en ad 483 1612.0 "Wed Sep 15 08:00:24 2021" "Wed Sep 15 08:27:16 2021" Submitted
33BFF6QPI1BTPLV20W2M22NHIMFW3A M1374 zh en ad 138 740.0 "Wed Sep 15 02:14:35 2021" "Wed Sep 15 02:26:55 2021" Submitted
3K8CQCU3KE10TPOCIFM1BGLNN36NWH M0873 zh en ad 485 1093.0 "Wed Sep 15 04:57:14 2021" "Wed Sep 15 05:15:27 2021" Submitted
3S4TINXCC0NQN7QDO3QI3R873CTOBH M0769 zh en ad 141 3835.0 "Wed Sep 15 07:16:56 2021" "Wed Sep 15 08:20:51 2021" Submitted
3FK4G712NX042LZ866TMDLS84PISSJ M0191 zh en ad 486 1280.0 "Wed Sep 15 07:24:02 2021" "Wed Sep 15 07:45:22 2021" Submitted
3BKZLF990ZZPLRW4D8W607183MTYQE M1346 zh en ad 142 4782.0 "Wed Sep 15 01:41:16 2021" "Wed Sep 15 03:00:58 2021" Submitted
3P4C70TRMRHE83VRRX24CLVAOKGLGE M0783 zh en ad 488 2266.0 "Wed Sep 15 01:36:33 2021" "Wed Sep 15 02:14:19 2021" Submitted
3ZVPAMTJWN3PB1Q4WHZ0YX49UC5GRZ M1681 zh en ad 489 1006.0 "Wed Sep 15 08:04:35 2021" "Wed Sep 15 08:21:21 2021" Submitted
3PKVGQTFIHKPXSB4QNL65XBDZ8VYRF M0354 zh en ad 143 630.0 "Wed Sep 15 02:24:32 2021" "Wed Sep 15 02:35:02 2021" Submitted
3QX22DUVOOHHWI37G425CZD9B4UVMF M1554 zh en ad 490 2170.0 "Wed Sep 15 05:14:51 2021" "Wed Sep 15 05:51:01 2021" Submitted
3CO05SML7V5S0XFJIFAXD5HTNVGR07 M0764 zh en ad 491 869.0 "Wed Sep 15 08:09:29 2021" "Wed Sep 15 08:23:58 2021" Submitted
322ZSN9Z5GKMF0AC552UPN8OSSTT42 M0551 zh en ad 145 2055.0 "Wed Sep 15 03:23:38 2021" "Wed Sep 15 03:57:53 2021" Submitted
3VMV5CHJZ8F2RG3W064VYC5RIX2GTC M1534 zh en ad 493 456.0 "Wed Sep 15 08:28:00 2021" "Wed Sep 15 08:35:36 2021" Submitted
3ZTE0JGGCES9XCIJ23MDEBEPLXTOCO M1202 zh en ad 146 3155.0 "Wed Sep 15 03:10:28 2021" "Wed Sep 15 04:03:03 2021" Submitted
3QXFBUZ4ZKGHRTIL0BU538RT1B9GU3 M0534 zh en ad 494 5454.0 "Wed Sep 15 03:35:05 2021" "Wed Sep 15 05:05:59 2021" Submitted
