wid hit.count mean.bad.ref mean.sys.out mean.ref min.hit.time mean.hit.time mean.concurrent max.concurrent max.const.seq.len reject.rate scores.flag time.flag seq.flag reject.flag 
M1074 1 87.5 87.3 87.6 820 820 1 1 2 0 flag(scrs) - - - 
M1331 1 25.9 49.2 99.4 2980 2980 1 1 4 0 - - - - 
M1549 14 88.2 89.3 89.5 1063.5 2659.2 1.8 3 4 0 - - - - 
M0679 8 56.2 55.6 73.5 1083 3323.5 1 1 3 0 flag(scrs) - - - 
M1214 2 27.6 68.6 98.9 1209 1340 1 1 2 0 - - - - 
M0242 3 42.3 79 99.8 1767 2482 1 1 3 0 - - - - 
M1295 7 66.9 72.9 86.8 356.5 661.1 1.6 2 3 0 - - - - 
M0790 2 70.2 62.3 64.9 563 1077 1 1 4 0 flag(scrs) - - - 
M1484 1 79.7 78.8 76.8 366 366 1 1 2 0 flag(scrs) - - - 
M1091 1 36.3 75.7 87.1 1441 1441 1 1 2 0 - - - - 
M0677 1 0 73.9 99.6 718 718 1 1 6 0 flag(incomplete) - - - 
M0223 7 73.2 73 73.5 139.7 562.8 2.1 3 3 0.14 flag(scrs) flag(time) - - 
M0321 1 94.2 85.8 71.4 354 354 1 1 3 0 flag(scrs) - - - 
M1013 1 3.9 58.2 100 2152 2152 1 1 4 0 - - - - 
M1053 1 44.6 67 89.9 3785 3785 1 1 2 0 - - - - 
M0952 5 97.6 97 97.9 879.5 1209 1.8 2 7 0 flag(scrs) - - - 
M0327 1 96.7 88.9 96.1 381 381 1 1 3 0 flag(scrs) - - - 
M1604 1 49.2 54.3 99.6 1154 1154 1 1 2 0 - - - - 
M1648 1 61.3 61.8 69.7 4087 4087 1 1 0 0 - - - - 
M0935 1 38.2 80.7 100 2137 2137 1 1 3 0 - - - - 
M0777 17 72.5 75.1 86.3 217.8 1141.8 3.5 7 3 0.18 - flag(time) - - 
M0253 13 88.9 89.5 90.7 190 839.6 4.6 8 4 0.08 - flag(time) - - 
M0161 1 79.3 84.4 77.2 1298 1298 1 1 6 0 - - - - 
M1132 2 66.9 72.8 73.4 211 2897.5 1 1 3 0 - flag(time) - - 
M1506 18 68.4 70.2 87.1 224 2134.7 1.2 2 3 0.11 - flag(time) - - 
M0016 3 51.3 63.8 55 1627 3706 1 1 3 0 - - - - 
M1009 7 71.1 80.7 99.9 3357 4960.3 1 1 3 0 - - - - 
M0638 1 38.5 87.5 99.6 1276 1276 1 1 3 0 - - - - 
M0882 23 94.4 94.4 97.2 527 2392.3 2.4 5 7 0 flag(scrs) - - - 
M1283 1 72 72.8 98.9 1699 1699 1 1 3 0 - - - - 
M0378 1 59.5 59.4 60.2 366 366 1 1 2 0 flag(scrs) - - - 
M1499 8 58.7 64.8 63.5 229 325.4 1 1 2 0 - flag(time) - - 
M1521 1 25.2 23.4 100 1024 1024 1 1 35 0 flag(scrs) - flag(seq) - 
M0989 1 73.6 82 79 2420 2420 1 1 0 0 - - - - 
M1378 1 21 77.2 96.8 2210 2210 1 1 2 0 - - - - 
M0973 1 63.5 81.7 97.9 3842 3842 1 1 3 0 - - - - 
M1318 1 36.3 82.6 100 4767 4767 1 1 8 0 - - - - 
M0872 1 1 78.3 100 1291 1291 1 1 14 0 - - flag(seq) - 
M1169 1 67.7 69.4 69.4 1491 1491 1 1 2 0 - - - - 
M1305 1 56 69.1 99.7 3764 3764 1 1 2 0 - - - - 
M0779 28 94 94.9 96.1 165 257 1 1 11 0.46 - flag(time) flag(seq) - 
M0058 2 80.1 68.1 74.6 373 1349 1 1 2 0 flag(scrs) - - - 
M0964 1 78 81.5 80.5 3151 3151 1 1 2 0 - - - - 
M0549 1 7 45.3 100 1723 1723 1 1 3 0 - - - - 
M1213 1 58.6 51.1 45.3 524 524 1 1 0 1 flag(scrs) - - - 
M0022 4 88.9 88.9 90.4 990 1107.2 1 1 3 0 flag(scrs) - - - 
M1253 1 87.2 89.4 90.1 610 610 1 1 2 0 - - - - 
M1185 2 78.4 70.4 79.2 259 627.2 2 2 2 0 flag(scrs) flag(time) - - 
M0755 3 57.8 62.6 88 779 1700.3 1 1 2 0 - - - - 
M0761 1 56.4 68.6 46.9 5941 5941 1 1 2 0 - - - - 
M0483 1 56.4 96.6 99.1 944 944 1 1 5 0 - - - - 
M0035 1 NaN 68.9 NaN 599 599 1 1 0 0 flag(incomplete) - - - 
M1502 1 29.8 67 21.1 3136 3136 1 1 2 0 - - - - 
M1160 1 56.1 70.7 76.8 879 879 1 1 2 0 - - - - 
M1668 15 70.3 75.1 92.3 72.8 2034.4 1.7 4 5 0.07 - flag(time) - - 
M0318 2 71.7 65.4 71.6 232 291.5 1 1 2 0 flag(scrs) flag(time) - - 
M1104 1 28.7 58.9 100 1724 1724 1 1 3 0 - - - - 
M0558 24 92.4 92.9 94.1 264.3 522.1 12 17 3 0 - flag(time) - - 
M0375 1 36.2 74.7 99.9 1823 1823 1 1 2 0 - - - - 
M1326 5 85 87.2 87.5 300 716.7 1.4 2 3 0 - - - - 
M0227 1 67.9 61.6 67.8 433 433 1 1 2 0 flag(scrs) - - - 
M1024 1 86.8 81.6 87.3 2693 2693 1 1 2 1 flag(scrs) - - - 
M1677 8 54.2 51.2 54.3 280 382.9 1 1 2 0 flag(scrs) flag(time) - - 
M1475 11 32.4 69 96.5 830 3482.7 1 1 5 0 - - - - 
M1402 7 31.9 45.3 57.3 241.2 630.1 4.9 6 4 0 - flag(time) - - 
M0488 2 55.9 62.6 65.2 678 1150.5 1 1 3 0 - - - - 
M0352 2 28.7 32.4 99.6 959 1597.5 1 1 4 0 - - - - 
M0050 1 1 68.7 99.9 1684 1684 1 1 3 0 - - - - 
M0494 1 13.8 66.1 99.7 1241 1241 1 1 2 0 - - - - 
M1189 1 70.2 89.1 100 1781 1781 1 1 10 0 - - - - 
M0604 1 54.9 58.5 56.9 2142 2142 1 1 3 0 - - - - 
M0522 4 69.2 76.2 82.6 351.5 987.1 1.5 2 2 0 - - - - 
M0666 1 54.7 75.5 98 1159 1159 1 1 4 0 - - - - 
M0457 62 93.5 93.9 99.4 112 579.2 13.4 21 13 0.11 - flag(time) flag(seq) - 
M1143 1 49.8 92.3 100 805 805 1 1 12 0 - - flag(seq) - 
M1142 1 67.3 72.3 66.8 844 844 1 1 3 0 - - - - 
M0162 1 81.8 71.7 63 1090 1090 1 1 2 0 flag(scrs) - - - 
M1056 1 92.4 60.9 90.6 155 155 1 1 3 0 flag(scrs) flag(time) - - 
M0721 1 65 63.1 63.2 1772 1772 1 1 0 0 flag(scrs) - - - 
M0704 1 NaN 56.6 NaN 1598 1598 1 1 2 0 flag(incomplete) - - - 
M1642 3 91.7 91.7 90.6 2526 3726.3 1 1 3 0 - - - - 
M1239 4 58.4 58.4 65.4 194.7 744.4 2.2 3 2 0 flag(scrs) flag(time) - - 
M1176 1 55.3 63.3 67.9 2804 2804 1 1 2 0 - - - - 
M1297 2 5 77.7 99.5 894 979.5 1 1 3 0 - - - - 
M0472 1 64.2 54.2 57.1 453 453 1 1 2 0 flag(scrs) - - - 
M1335 1 58.8 58.7 62.5 5234 5234 1 1 2 0 flag(scrs) - - - 
M1275 1 62.2 54.1 27.3 2174 2174 1 1 4 1 flag(scrs) - - - 
M1443 1 29.8 86 99.8 1045 1045 1 1 3 0 - - - - 
M1245 1 59.3 59.7 66.3 344 344 1 1 7 0 - - - - 
M1522 1 12.4 73.8 100 1268 1268 1 1 3 0 - - - - 
M0241 1 12.4 83.7 100 1990 1990 1 1 4 0 - - - - 
M1093 2 16.3 66.6 98.8 2162 2165.5 1 1 4 0 - - - - 
M0918 1 48.3 77.2 89.6 2158 2158 1 1 2 0 - - - - 
M0545 4 83.1 84.9 83.4 211 345 1 1 3 0 - flag(time) - - 
M0213 1 52.4 75.4 83.2 1780 1780 1 1 3 0 - - - - 
M1042 1 55.3 78.1 99.8 710 710 1 1 2 0 - - - - 
M1101 10 87 83.5 85.5 196.7 1083.7 2.2 4 3 0 flag(scrs) flag(time) - - 
M0911 17 74.1 95.2 98.6 1213 2022.9 1 1 11 0 - - flag(seq) - 
M0819 1 52 51.7 51.5 5915 5915 1 1 2 0 flag(scrs) - - - 
M0250 29 30.6 32.2 34.4 127.4 464.2 10.8 15 92 0 - flag(time) flag(seq) - 
M1289 1 4.5 80.5 98.9 759 759 1 1 3 0 - - - - 
M0078 1 38.4 86.6 94.3 1070 1070 1 1 2 0 - - - - 
M0141 34 80.5 82.2 97.8 162.5 558.7 2.5 4 5 0 - flag(time) - - 
M1663 1 61 56.6 67.3 1420 1420 1 1 2 0 flag(scrs) - - - 
M0728 1 72.6 76.6 99.9 1327 1327 1 1 11 0 - - flag(seq) - 
M1341 1 15 41 99.5 895 895 1 1 4 0 - - - - 
M0956 1 59.5 55 56.2 772 772 1 1 0 1 flag(scrs) - - - 
M0780 10 53.3 67.9 99.1 3094 5592.8 1 1 3 0 - - - - 
M0883 1 NaN 42.5 NaN 559 559 1 1 4 0 flag(incomplete) - - - 
M0411 12 60.4 83.8 99.5 291 1879 1 1 16 0.17 - flag(time) flag(seq) - 
M0539 1 29.1 80.5 99.4 1136 1136 1 1 3 0 - - - - 
M1178 7 70.8 67.9 85.3 396 1883.7 1.9 3 10 0 flag(scrs) - - - 
M1508 1 77.2 69.4 92.2 706 706 1 1 3 0 flag(scrs) - - - 
M1680 1 70.4 93 100 1073 1073 1 1 14 0 - - flag(seq) - 
M1531 1 73.8 85.7 89.6 309 309 1 1 2 0 - - - - 
M0485 3 66.5 65 71.1 363 712.3 1 1 2 0 flag(scrs) - - - 
M1321 1 47 52.6 43.4 1208 1208 1 1 3 0 - - - - 
M1584 1 35.2 76.1 99.8 2323 2323 1 1 2 0 - - - - 
M1630 1 53.5 56 38.1 6092 6092 1 1 0 0 - - - - 
M1082 6 67.4 78.8 94.9 1575.5 3410 1.7 2 3 0 - - - - 
M0436 2 54.2 77.3 98.1 1711 1764 1 1 4 0 - - - - 
M0312 1 52.9 74 100 756 756 1 1 4 0 - - - - 
M0763 1 18.9 0 21.3 1138 1138 1 1 69 0 flag(scrs) - flag(seq) - 
M1151 1 69.7 76 87.7 2591 2591 1 1 2 0 - - - - 
M1352 1 74.3 70.3 69.2 644 644 1 1 2 0 flag(scrs) - - - 
M1583 1 29.6 58.4 98.1 2079 2079 1 1 2 0 - - - - 
M0543 1 NaN 75.9 NaN 1779 1779 1 1 6 0 flag(incomplete) - - - 
M1233 3 47.6 87.8 99 1791 1890 1 1 3 0 - - - - 
M0515 1 72.6 73 76 1173 1173 1 1 3 0 - - - - 
M1656 4 12.4 12.1 98.3 645 1047.8 1 1 4 0.25 flag(scrs) - - - 
M0279 2 97.1 97.5 99.9 1933 2020.5 1 1 6 0 - - - - 
M0971 1 26.5 62.3 77.6 2413 2413 1 1 2 0 - - - - 
M1145 2 39.4 60.9 68.6 341 1451 1 1 2 0 - - - - 
M0061 1 NaN 60.2 NaN 294 294 1 1 2 0 flag(incomplete) - - - 
M1412 1 37.4 70.9 99.6 1824 1824 1 1 2 0 - - - - 
M0787 40 79.3 79.5 80.1 63.5 942.2 7.2 16 2 0 - flag(time) - - 
M1479 5 75.3 74.3 75.8 276 718.4 1 1 4 0 flag(scrs) flag(time) - - 
M0863 1 46.2 60.5 74.3 1185 1185 1 1 2 0 - - - - 
M1188 1 71.4 72.9 63.1 6185 6185 1 1 3 0 - - - - 
M0256 1 29.3 75.3 99.6 2083 2083 1 1 2 0 - - - - 
M1095 1 63.2 67.9 56.1 317 317 1 1 3 0 - - - - 
M0427 3 76.2 84.8 82.9 1349 2922.7 1 1 5 0 - - - - 
M0140 7 41.5 69.3 91.8 559 1727.9 1.3 2 3 0 - - - - 
M0813 4 72.9 76.5 76.6 298 334.5 1 1 2 0 - flag(time) - - 
M0792 53 67.8 67.5 68.1 10.9 81.9 42.3 51 10 0 flag(scrs) flag(time) - - 
M0855 1 77.1 58.8 71.6 392 392 1 1 2 0 flag(scrs) - - - 
M0776 1 67.1 80.4 79.1 523 523 1 1 3 0 - - - - 
M1413 1 89 87.8 91.6 488 488 1 1 2 1 flag(scrs) - - - 
M0915 1 3.5 80.9 100 1675 1675 1 1 8 0 - - - - 
M1682 2 81.9 90.8 92.4 252.5 396 2 2 4 0 - flag(time) - - 
M0609 1 72.4 89.3 98.8 1435 1435 1 1 3 0 - - - - 
M1181 1 NaN 97.7 NaN 1149 1149 1 1 3 0 flag(incomplete) - - - 
M1063 1 75 75.3 79.2 318 318 1 1 2 0 - - - - 
M0052 1 22.1 81.2 85.6 3853 3853 1 1 2 0 - - - - 
M0362 2 59.2 78.2 90.6 763 898 1 1 3 0 - - - - 
M0511 1 61.8 80.6 82.2 588 588 1 1 3 0 - - - - 
M1548 1 49.8 18.1 45.9 287 287 1 1 22 1 flag(scrs) flag(time) flag(seq) - 
M0390 2 51.4 55.6 54.4 711 714 1 1 2 0 - - - - 
M0116 1 25.3 68.2 100 2208 2208 1 1 3 0 - - - - 
M0045 1 62.2 59 63.5 1376 1376 1 1 2 0 flag(scrs) - - - 
M1080 1 73.4 92.7 100 1547 1547 1 1 5 0 - - - - 
M0126 3 60.9 61.2 58 224 1020.3 1 1 2 0 - flag(time) - - 
M1286 1 10.5 15.2 87 2983 2983 1 1 2 0 - - - - 
M0304 2 54.4 58.3 67.7 628 668 1 1 2 0 - - - - 
M1359 1 16.3 75 100 872 872 1 1 4 0 - - - - 
M0891 1 47 78.7 99.9 1546 1546 1 1 3 0 - - - - 
M1243 1 17 78.1 98 933 933 1 1 2 0 - - - - 
M0400 1 38.9 76.2 100 1050 1050 1 1 2 0 - - - - 
M1454 1 67.6 69.2 63 345 345 1 1 2 0 - - - - 
M1495 1 66.4 52.7 54.9 1220 1220 1 1 2 0 flag(scrs) - - - 
M0966 2 96.7 97.9 98.8 888 1142 1 1 20 0 - - flag(seq) - 
M0296 1 92.6 92.5 91.8 1830 1830 1 1 4 0 flag(scrs) - - - 
M0916 1 NaN 83.3 NaN 1033 1033 1 1 3 0 flag(incomplete) - - - 
M1394 1 10.8 18.7 49.2 341 341 1 1 61 0 - - flag(seq) - 
M0682 1 81 82.9 93.8 502 502 1 1 2 0 - - - - 
M1397 2 27.6 71.9 79.6 1736 1763.5 1 1 3 0 - - - - 
M1075 1 61.1 72.5 98.9 1018 1018 1 1 2 0 - - - - 
M0128 2 94.8 96.4 99.6 1917 3151 1 1 6 0 - - - - 
M0503 1 75.7 75.5 59.2 4356 4356 1 1 2 0 flag(scrs) - - - 
M1596 2 81.2 80.4 88.6 519 774.5 1 1 2 0 flag(scrs) - - - 
M0395 2 91.2 91.8 91.4 279 317.5 1 1 3 1 - flag(time) - - 
M0438 1 24 92.7 100 1423 1423 1 1 7 0 - - - - 
M1659 1 51.1 52 51.9 2446 2446 1 1 2 0 - - - - 
M0529 2 31.3 78.4 99.2 4561 5656 1 1 3 0 - - - - 
M1152 1 69.6 68 67 283 283 1 1 2 1 flag(scrs) flag(time) - - 
M0193 1 72 67 79.2 1915 1915 1 1 2 1 flag(scrs) - - - 
M0221 1 75.7 71.2 70.7 1641 1641 1 1 0 1 flag(scrs) - - - 
M0224 1 50.2 47.5 53 984 984 1 1 2 0 flag(scrs) - - - 
M0868 1 39.2 95.2 100 1330 1330 1 1 31 0 - - flag(seq) - 
M0534 1 78.4 73.8 78.4 5454 5454 1 1 2 0 flag(scrs) - - - 
M1434 1 67.1 61 65.1 1312 1312 1 1 2 1 flag(scrs) - - - 
M1358 4 72.2 70.8 74.7 402 556.5 1 1 3 0 flag(scrs) - - - 
M1657 2 46.4 77.2 88.6 678 785 1 1 4 0 - - - - 
M0261 1 63.6 71.5 92.6 463 463 1 1 8 0 - - - - 
M1251 1 37.7 59.6 93.9 1910 1910 1 1 3 0 - - - - 
M0498 3 60.3 57 57.8 264.5 550.8 1.3 2 85 0 flag(scrs) flag(time) flag(seq) - 
M0274 5 61 64.3 68.8 269.7 399.7 2 3 0 0 - flag(time) - - 
M1150 1 38.7 65.5 98.9 2427 2427 1 1 3 0 - - - - 
M0878 1 27.1 25.8 11.8 306 306 1 1 66 1 flag(scrs) - flag(seq) - 
M0405 2 78 77.8 72.7 470 685.5 1 1 2 0 flag(scrs) - - - 
M0562 1 80.3 79.7 81.3 1478 1478 1 1 3 0 flag(scrs) - - - 
M0398 1 59.1 83.3 100 1227 1227 1 1 3 0 - - - - 
M1298 3 51.3 54.3 50.4 661 1914 1 1 3 0 - - - - 
M1490 1 6 71 99.6 1280 1280 1 1 5 0 - - - - 
M1689 1 55 61.5 85.2 4079 4079 1 1 2 0 - - - - 
M1021 3 75.1 71.5 71.4 946 2181.7 1 1 2 0.33 flag(scrs) - - - 
M0929 2 50.6 72 98.1 1468 1471 1 1 3 0 - - - - 
M1357 6 67.8 70.1 75.2 1253 3899.7 1 1 2 0 - - - - 
M1202 6 60.4 65.9 87.5 1066 1805.7 1 1 3 0 - - - - 
M1415 1 69.5 86 92.2 2436 2436 1 1 3 0 - - - - 
M1105 1 99 82.6 98.9 275 275 1 1 4 0 flag(scrs) flag(time) - - 
M1669 3 18.1 78.1 99.8 1604 1644.3 1 1 6 0 - - - - 
M0075 3 71.3 67.2 63 1081 2235 1 1 2 0 flag(scrs) - - - 
M0723 1 49.5 78.7 99.9 2794 2794 1 1 3 0 - - - - 
M1156 3 67.7 91.6 99.8 1650 2750.3 1 1 4 0 - - - - 
M0089 14 46.4 62.5 96.2 250.4 1243.9 4.2 6 3 0 - flag(time) - - 
M0736 1 19.6 76.5 99.2 2574 2574 1 1 3 0 - - - - 
M0119 1 73.2 72.6 71.7 307 307 1 1 4 1 flag(scrs) - - - 
M1375 1 33 63.2 55.2 1812 1812 1 1 3 0 - - - - 
M0046 1 19 60.4 100 1879 1879 1 1 3 0 - - - - 
M0185 14 74 76.2 77.4 78.9 1172.6 6 10 3 0 - flag(time) - - 
M1273 1 17.4 90.6 99.9 1328 1328 1 1 3 0 - - - - 
M0163 1 24.3 63.6 91.4 1462 1462 1 1 2 0 - - - - 
M0421 1 92.2 86.3 99.1 1377 1377 1 1 3 0 flag(scrs) - - - 
M0900 15 54.5 59.9 99.1 199.2 1281.6 4.2 8 6 0.27 - flag(time) - - 
M1041 6 90.3 93.1 92 750 1336.7 1 1 9 0 - - - - 
M1107 23 76.3 85.9 98 219.5 578.9 1.3 2 5 0.65 - flag(time) - - 
M1088 1 51.8 51.2 52 793 793 1 1 5 0 flag(scrs) - - - 
M0612 1 50 56.8 52.6 1870 1870 1 1 5 0 - - - - 
M1146 2 34.2 87.4 65.8 969 1208.5 1 1 9 0 - - - - 
M0673 1 93.4 94 95.2 1771 1771 1 1 2 0 - - - - 
M0393 2 64.9 63.4 70.6 254 1364 1 1 2 0 flag(scrs) flag(time) - - 
M0167 3 68.4 70.6 71 233 441.7 1 1 4 0.33 - flag(time) - - 
M1232 1 18 74.9 75.4 4333 4333 1 1 3 0 - - - - 
M0129 1 63.6 57.1 62.2 1092 1092 1 1 3 0 flag(scrs) - - - 
M0544 1 30 64.2 41.9 1976 1976 1 1 2 0 - - - - 
M1485 2 65.1 69 66.8 181.5 247.5 2 2 2 0 - flag(time) - - 
M1585 2 28.3 66.9 100 2724 3017 1 1 4 0 - - - - 
M0293 6 95.9 96.2 96.3 922.5 1474.4 1.3 2 10 0 - - - - 
M1476 1 87.8 86.8 84.4 5014 5014 1 1 2 0 flag(scrs) - - - 
M0299 1 88.5 82.9 95.8 2371 2371 1 1 3 0 flag(scrs) - - - 
M1236 1 75.7 70.8 82.3 712 712 1 1 2 0 flag(scrs) - - - 
M0578 1 96 85.8 93.8 1005 1005 1 1 2 0 flag(scrs) - - - 
M0811 2 78.4 81.6 81.9 454 796.5 1 1 3 0 - - - - 
M0571 1 26.9 85.7 99.9 1689 1689 1 1 7 0 - - - - 
M1424 1 61.3 72.1 99.4 1305 1305 1 1 2 0 - - - - 
M0118 1 83.1 83.6 82.1 678 678 1 1 2 0 - - - - 
M0442 2 15 52.9 100 1945 1998.5 1 1 14 0 - - flag(seq) - 
M1342 2 61 60.3 60.7 449 539.5 1 1 0 0 flag(scrs) - - - 
M0541 2 4.1 4.1 89.1 4443 4881 1 1 6 0 flag(scrs) - - - 
M0641 1 61.8 89.7 100 2352 2352 1 1 9 0 - - - - 
M0706 1 0 59.5 100 6123 6123 1 1 9 0 - - - - 
M1550 1 56.5 82.2 100 1102 1102 1 1 5 0 - - - - 
M1198 2 87.8 86.3 88.1 2243 2398 1 1 5 0 flag(scrs) - - - 
M1635 1 19.6 81.8 99 1468 1468 1 1 3 0 - - - - 
M0639 1 NaN 76 NaN 5422 5422 1 1 2 0 flag(incomplete) - - - 
M1065 1 0 0 0 3469 3469 1 1 88 0 flag(scrs) - flag(seq) - 
M0493 1 87.2 81.6 87.1 400 400 1 1 2 1 flag(scrs) - - - 
M1364 23 59.4 59 60.4 121.2 691.5 4 10 2 0 flag(scrs) flag(time) - - 
M1294 1 8.4 66.7 100 2270 2270 1 1 5 0 - - - - 
M0268 3 43.6 50.6 43 2176 3181.3 1 1 29 0 - - flag(seq) - 
M0076 1 65.2 87.9 99.9 2100 2100 1 1 4 0 - - - - 
M0357 1 0 0 0 491 491 1 1 86 0 flag(scrs) - flag(seq) - 
M0278 1 76.5 63.8 69.4 2185 2185 1 1 5 1 flag(scrs) - - - 
M1477 4 0 0.4 0 500 790.5 1 1 194 0 - - flag(seq) - 
M0088 1 68.3 58.8 69.1 881 881 1 1 2 1 flag(scrs) - - - 
M1087 1 17.3 84.7 66.6 1444 1444 1 1 7 0 - - - - 
M1440 5 33.1 74.5 99.6 963 1933.2 1 1 3 0 - - - - 
M1491 5 78 75.6 78.1 510 777 3 4 2 0.6 flag(scrs) - - - 
M0218 1 76.8 87.7 97.8 2035 2035 1 1 3 0 - - - - 
M1287 3 29.6 58.4 93.5 1923 2640.3 1 1 2 0 - - - - 
M1084 1 20.2 68.7 100 1636 1636 1 1 3 0 - - - - 
M0624 2 93.1 85.7 90.4 1960 3109.5 1 1 3 0 flag(scrs) - - - 
M0165 1 72.1 68.6 83.3 808 808 1 1 2 0 flag(scrs) - - - 
M0237 1 7.4 4.3 0.3 207 207 1 1 16 0 flag(scrs) flag(time) flag(seq) - 
M1487 1 36.7 84.3 99.7 2569 2569 1 1 0 0 - - - - 
M1645 1 43.8 74.5 77.8 6466 6466 1 1 3 0 - - - - 
M0821 7 43.7 45.4 49.8 207.5 538 1.3 2 2 0.29 - flag(time) - - 
M0805 1 44.1 73.6 98.3 3183 3183 1 1 3 0 - - - - 
M0991 1 46.6 94.6 100 3626 3626 1 1 5 0 - - - - 
M0257 1 64.7 60.7 69.3 512 512 1 1 3 0 flag(scrs) - - - 
M0194 1 53.3 66.4 65.4 358 358 1 1 4 0 - - - - 
M0588 1 27 66.4 97.4 1480 1480 1 1 6 0 - - - - 
M1315 2 82.1 79.1 76.3 632 717.5 1 1 2 0 flag(scrs) - - - 
M0492 2 0 0 0 110 135 1 1 164 1 flag(scrs) flag(time) flag(seq) - 
M0647 1 58.3 66.1 74.4 3019 3019 1 1 2 0 - - - - 
M0470 1 79.9 70.1 70.4 751 751 1 1 3 0 flag(scrs) - - - 
M1586 15 59.7 64.9 73.2 392 907.5 1 1 3 0 - - - - 
M0847 1 NaN 81.6 NaN 1499 1499 1 1 0 0 flag(incomplete) - - - 
M1621 4 29.1 40.8 96.5 933 1409.8 1 1 3 0 - - - - 
M0774 4 43 85 99.6 2437.5 2885.2 1.5 2 8 0 - - - - 
M0038 1 73.2 74.7 87.6 638 638 1 1 3 0 - - - - 
M1031 6 65.5 64 63.7 434 917 1 1 2 0 flag(scrs) - - - 
M0264 8 51.4 69.7 89.7 758.4 1974.2 3 5 3 0 - - - - 
M0660 1 0 62.1 99.6 2284 2284 1 1 4 0 - - - - 
